run,g,MAE_J2,MAE_JZ,MAE_JDM,MAE_J3,MSE_J2,MSE_JZ,MSE_JDM,MSE_J3,FID_J2,FID_JZ,FID_JDM,FID_J3
0,0.0,0.0247,0.0199,0.0534,0.0301,0.0011,0.0007,0.0076,0.0017,0.9942,0.9956,0.9584,0.9922
0,0.1,0.0249,0.0201,0.0551,0.0299,0.0011,0.0007,0.0079,0.0017,0.9942,0.9955,0.957,0.9923
0,0.2,0.0262,0.02,0.0577,0.0305,0.0013,0.0008,0.0083,0.0018,0.9934,0.9954,0.9539,0.992
0,0.30000000000000004,0.027,0.0231,0.0625,0.0315,0.0013,0.0009,0.0091,0.0018,0.9936,0.9948,0.9483,0.992
0,0.4,0.0277,0.0234,0.0631,0.0347,0.0014,0.0009,0.0108,0.0021,0.993,0.9943,0.9398,0.9901
0,0.5,0.0313,0.0263,0.0706,0.0368,0.0018,0.0011,0.011,0.0022,0.9909,0.9933,0.9351,0.9897
0,0.6000000000000001,0.0309,0.0274,0.0751,0.0401,0.0017,0.0013,0.0117,0.0028,0.9909,0.9919,0.9341,0.9867
0,0.7000000000000001,0.037,0.0304,0.0884,0.0436,0.0025,0.0016,0.0169,0.0031,0.988,0.9907,0.9023,0.9852
0,0.8,0.0379,0.0336,0.098,0.0463,0.0023,0.0016,0.0187,0.0036,0.9889,0.9904,0.8905,0.9839
0,0.9,0.0441,0.0342,0.0939,0.0487,0.003,0.0019,0.0171,0.0041,0.9854,0.989,0.8988,0.9799
0,1.0,0.0499,0.0394,0.1001,0.0545,0.0041,0.0025,0.0217,0.0048,0.9798,0.985,0.8778,0.9776
0,1.1,0.0522,0.0458,0.103,0.0595,0.0046,0.0031,0.0195,0.0055,0.9775,0.9814,0.8857,0.976
0,1.2000000000000002,0.0539,0.0452,0.1207,0.0588,0.0051,0.0033,0.0286,0.0055,0.9773,0.9799,0.8381,0.9778
0,1.3,0.0571,0.0448,0.1067,0.0668,0.0052,0.0034,0.0223,0.0067,0.9759,0.9793,0.8683,0.9736
0,1.4000000000000001,0.0659,0.0482,0.131,0.0763,0.0074,0.0036,0.033,0.0088,0.9674,0.9793,0.8113,0.966
0,1.5,0.0649,0.0497,0.142,0.0685,0.007,0.004,0.0329,0.0074,0.9721,0.9779,0.8068,0.9702
0,1.6,0.076,0.0571,0.1552,0.0825,0.0099,0.0054,0.0438,0.0109,0.9558,0.968,0.7459,0.9548
0,1.7000000000000002,0.0829,0.0586,0.1583,0.0856,0.0114,0.0055,0.0449,0.0114,0.9431,0.9703,0.7158,0.9498
0,1.8,0.0787,0.0663,0.1662,0.0866,0.0099,0.0069,0.0519,0.0119,0.9542,0.9606,0.6763,0.9498
0,1.9000000000000001,0.0855,0.0634,0.1686,0.0937,0.0126,0.0065,0.0551,0.0132,0.9394,0.9605,0.651,0.9453
0,2.0,0.0968,0.0638,0.1429,0.101,0.0156,0.0063,0.0345,0.0157,0.92,0.9628,0.7977,0.9374
0,2.1,0.0931,0.0779,0.1765,0.1081,0.0137,0.0093,0.0577,0.0191,0.9313,0.9471,0.6464,0.9272
0,2.2,0.1029,0.0748,0.1826,0.1197,0.0172,0.0093,0.0575,0.0222,0.9137,0.9494,0.6639,0.9071
0,2.3000000000000003,0.1116,0.087,0.1663,0.117,0.0194,0.0116,0.0429,0.0208,0.8987,0.9374,0.7465,0.9227
0,2.4000000000000004,0.1152,0.0853,0.2039,0.1169,0.0212,0.0111,0.0698,0.0214,0.8888,0.9425,0.5969,0.9178
0,2.5,0.1074,0.0952,0.1989,0.1199,0.0185,0.0134,0.0651,0.0213,0.9027,0.9258,0.6441,0.9224
0,2.6,0.1193,0.0967,0.1845,0.1386,0.0239,0.0135,0.0592,0.0279,0.8818,0.9286,0.6587,0.9019
0,2.7,0.1214,0.0953,0.2028,0.1353,0.024,0.0134,0.0675,0.0267,0.8665,0.9237,0.5717,0.8976
0,2.8000000000000003,0.12,0.1008,0.2,0.1376,0.0236,0.016,0.0663,0.0281,0.8805,0.9071,0.572,0.9025
0,2.9000000000000004,0.1287,0.1057,0.2144,0.1437,0.0267,0.0161,0.0738,0.0316,0.8595,0.9112,0.5631,0.9008
0,3.0,0.122,0.0949,0.213,0.1555,0.0235,0.015,0.0796,0.0348,0.8793,0.9153,0.5611,0.8597
1,0.0,0.0247,0.0199,0.0534,0.0301,0.0011,0.0007,0.0076,0.0017,0.9942,0.9956,0.9584,0.9922
1,0.1,0.0253,0.0201,0.0545,0.0295,0.0012,0.0007,0.0078,0.0017,0.994,0.9955,0.9567,0.9925
1,0.2,0.0261,0.0208,0.0573,0.0313,0.0012,0.0008,0.0083,0.0018,0.9937,0.9952,0.9542,0.9914
1,0.30000000000000004,0.0271,0.0237,0.0592,0.0313,0.0013,0.001,0.0085,0.0018,0.9933,0.9941,0.9537,0.9917
1,0.4,0.0282,0.0232,0.0659,0.0312,0.0014,0.001,0.0102,0.0019,0.9932,0.9943,0.9416,0.9913
1,0.5,0.0278,0.0265,0.0753,0.034,0.0013,0.0011,0.0129,0.0021,0.9935,0.9932,0.9263,0.9904
1,0.6000000000000001,0.0324,0.0297,0.0828,0.0372,0.0018,0.0014,0.0139,0.0024,0.9912,0.9918,0.9193,0.9888
1,0.7000000000000001,0.0385,0.0302,0.0831,0.0428,0.0024,0.0015,0.0146,0.003,0.9889,0.9913,0.9131,0.986
1,0.8,0.0389,0.0317,0.0866,0.0422,0.0025,0.0016,0.0137,0.0033,0.9879,0.9901,0.9197,0.9855
1,0.9,0.0471,0.0353,0.0944,0.048,0.0036,0.0018,0.0197,0.0036,0.9822,0.9892,0.8834,0.9832
1,1.0,0.0491,0.0379,0.1052,0.0517,0.0042,0.0023,0.0208,0.0046,0.9821,0.9861,0.877,0.9796
1,1.1,0.0503,0.0408,0.1056,0.0566,0.0042,0.0026,0.0229,0.0051,0.9801,0.9841,0.8639,0.9785
1,1.2000000000000002,0.0572,0.0465,0.1147,0.0594,0.0053,0.0034,0.0258,0.0057,0.9729,0.9791,0.8435,0.9725
1,1.3,0.0617,0.0465,0.1377,0.0662,0.006,0.0034,0.0333,0.0067,0.9726,0.9803,0.8027,0.972
1,1.4000000000000001,0.0664,0.0458,0.1265,0.069,0.0071,0.0033,0.0272,0.007,0.9663,0.9812,0.834,0.9711
1,1.5,0.0725,0.0548,0.1367,0.0793,0.0088,0.0047,0.0335,0.009,0.9559,0.9729,0.7855,0.9649
1,1.6,0.0719,0.0621,0.1272,0.0857,0.0084,0.0061,0.0268,0.0107,0.9616,0.9655,0.8395,0.9577
1,1.7000000000000002,0.0807,0.0673,0.1718,0.0862,0.0103,0.007,0.0494,0.0112,0.9495,0.9592,0.6957,0.9559
1,1.8,0.0814,0.0619,0.1694,0.0958,0.0109,0.0065,0.0493,0.0141,0.9446,0.9615,0.7016,0.944
1,1.9000000000000001,0.0937,0.0674,0.1423,0.0974,0.0143,0.0073,0.0398,0.015,0.9334,0.9589,0.7757,0.9352
1,2.0,0.0884,0.0649,0.1633,0.0998,0.0125,0.0068,0.0456,0.0159,0.9384,0.9608,0.7108,0.9371
1,2.1,0.09,0.0715,0.1705,0.1058,0.0157,0.0078,0.0511,0.0169,0.9275,0.9563,0.6825,0.9323
1,2.2,0.103,0.0771,0.1829,0.1145,0.0182,0.0089,0.0536,0.0207,0.9174,0.9523,0.6999,0.9194
1,2.3000000000000003,0.1087,0.0759,0.1646,0.1204,0.0194,0.0092,0.0455,0.0211,0.9175,0.9495,0.733,0.9138
1,2.4000000000000004,0.1025,0.0848,0.1797,0.1325,0.0157,0.0112,0.0601,0.0251,0.9204,0.9386,0.6227,0.8987
1,2.5,0.1239,0.0909,0.1896,0.1337,0.0225,0.0135,0.0573,0.0259,0.8889,0.9313,0.6667,0.9008
1,2.6,0.1238,0.1022,0.2084,0.1399,0.024,0.0149,0.0726,0.0287,0.874,0.9215,0.6266,0.9003
1,2.7,0.1052,0.0931,0.1934,0.1278,0.0178,0.0132,0.0623,0.0235,0.9108,0.926,0.6313,0.9087
1,2.8000000000000003,0.1288,0.1031,0.1983,0.1373,0.0267,0.017,0.0634,0.0279,0.8512,0.9067,0.6059,0.9058
1,2.9000000000000004,0.1262,0.0993,0.2067,0.1465,0.0261,0.0157,0.0747,0.0305,0.8568,0.9202,0.5965,0.8869
1,3.0,0.125,0.1027,0.2305,0.1483,0.0242,0.016,0.0853,0.0318,0.8785,0.9165,0.524,0.8829
2,0.0,0.0247,0.0199,0.0534,0.0301,0.0011,0.0007,0.0076,0.0017,0.9942,0.9956,0.9584,0.9922
2,0.1,0.0253,0.0202,0.0554,0.0305,0.0012,0.0007,0.0076,0.0017,0.9939,0.9956,0.9575,0.9922
2,0.2,0.0256,0.0211,0.0551,0.0322,0.0012,0.0008,0.0079,0.0019,0.994,0.9952,0.9553,0.9915
2,0.30000000000000004,0.0267,0.021,0.0599,0.0331,0.0013,0.0008,0.0085,0.002,0.9934,0.9954,0.9538,0.9905
2,0.4,0.0299,0.0234,0.0635,0.0346,0.0015,0.001,0.0093,0.0022,0.9925,0.9942,0.9489,0.9897
2,0.5,0.0328,0.0258,0.0703,0.0359,0.002,0.0011,0.0105,0.0023,0.9903,0.9933,0.9402,0.9894
2,0.6000000000000001,0.0307,0.0279,0.0759,0.0373,0.0016,0.0013,0.0127,0.0025,0.9919,0.9922,0.9268,0.988
2,0.7000000000000001,0.0359,0.0314,0.0809,0.0425,0.0021,0.0016,0.0142,0.003,0.99,0.9905,0.9178,0.9855
2,0.8,0.0406,0.0363,0.0992,0.0456,0.0025,0.002,0.0194,0.0032,0.9863,0.988,0.8829,0.9862
2,0.9,0.0488,0.0344,0.0921,0.053,0.0041,0.0018,0.0184,0.0049,0.9784,0.9892,0.889,0.9773
2,1.0,0.0468,0.0355,0.1073,0.0526,0.0037,0.002,0.0232,0.0044,0.9826,0.9883,0.8624,0.98
2,1.1,0.0516,0.0419,0.0928,0.0509,0.0044,0.0026,0.0152,0.0044,0.9791,0.9845,0.9118,0.9807
2,1.2000000000000002,0.0542,0.0435,0.1118,0.059,0.0049,0.003,0.0218,0.0057,0.9758,0.9825,0.8724,0.9753
2,1.3,0.0639,0.0504,0.1239,0.0569,0.0063,0.0039,0.0261,0.0052,0.9698,0.9765,0.8457,0.9792
2,1.4000000000000001,0.0696,0.0491,0.1361,0.0717,0.0089,0.0037,0.0388,0.0086,0.9585,0.9792,0.7722,0.9619
2,1.5,0.065,0.0508,0.142,0.0741,0.0065,0.0041,0.0368,0.0082,0.972,0.9762,0.7729,0.9643
2,1.6,0.0754,0.0543,0.1348,0.075,0.0093,0.0044,0.0326,0.0082,0.9523,0.9741,0.7993,0.969
2,1.7000000000000002,0.0798,0.054,0.1417,0.0807,0.0102,0.0046,0.0366,0.0107,0.9511,0.9733,0.7778,0.9589
2,1.8,0.0859,0.0622,0.1668,0.1019,0.013,0.0062,0.0467,0.0137,0.9408,0.9672,0.7012,0.9503
2,1.9000000000000001,0.0853,0.0685,0.1701,0.0976,0.0121,0.0078,0.0512,0.0145,0.9404,0.9539,0.6716,0.9459
2,2.0,0.0865,0.0756,0.1514,0.0958,0.0119,0.0086,0.0376,0.014,0.9465,0.9528,0.7687,0.9503
2,2.1,0.1005,0.0734,0.1613,0.1044,0.0167,0.0085,0.0464,0.0164,0.9245,0.9573,0.735,0.9383
2,2.2,0.0948,0.0765,0.1797,0.1188,0.0137,0.0093,0.055,0.0189,0.9382,0.951,0.6775,0.9299
2,2.3000000000000003,0.1018,0.0797,0.1919,0.1223,0.0166,0.0107,0.0679,0.0229,0.9163,0.9385,0.6165,0.9124
2,2.4000000000000004,0.1244,0.0879,0.1933,0.1295,0.0237,0.0131,0.0616,0.0254,0.8789,0.928,0.6675,0.8963
2,2.5,0.1139,0.0873,0.1809,0.1207,0.02,0.0112,0.0528,0.0227,0.8931,0.9371,0.6668,0.9161
2,2.6,0.1085,0.0906,0.1922,0.1275,0.0194,0.0126,0.062,0.0249,0.9022,0.9287,0.6052,0.9091
2,2.7,0.1127,0.0954,0.1938,0.1359,0.0202,0.0144,0.0592,0.0277,0.8957,0.9224,0.6292,0.8888
2,2.8000000000000003,0.1298,0.1036,0.2134,0.1519,0.0264,0.0158,0.0754,0.035,0.8543,0.9215,0.5305,0.8615
