run,g,MAE_J2,MAE_JZ,MAE_JDM,MAE_J3,MSE_J2,MSE_JZ,MSE_JDM,MSE_J3,FID_J2,FID_JZ,FID_JDM,FID_J3
0,0.0,0.0207,0.022,0.0506,0.0245,0.0008,0.0009,0.0072,0.0012,0.9955,0.9945,0.9598,0.994
0,0.1,0.0219,0.0234,0.0559,0.0249,0.0008,0.001,0.0079,0.0013,0.9953,0.9939,0.9565,0.9938
0,0.2,0.0249,0.0264,0.0623,0.0271,0.001,0.0012,0.0089,0.0014,0.9942,0.9926,0.9481,0.993
0,0.30000000000000004,0.0303,0.0304,0.0788,0.0282,0.0014,0.0016,0.0142,0.0015,0.9919,0.9907,0.9189,0.992
0,0.4,0.0306,0.0331,0.0841,0.0349,0.0015,0.0017,0.014,0.0023,0.9914,0.9895,0.9218,0.9885
0,0.5,0.0338,0.0385,0.0792,0.0354,0.0018,0.0024,0.0132,0.0021,0.99,0.9859,0.9254,0.9903
0,0.6000000000000001,0.0379,0.0429,0.1023,0.046,0.0022,0.0029,0.0202,0.0033,0.9881,0.9828,0.8843,0.9844
0,0.7000000000000001,0.0444,0.0441,0.116,0.0518,0.0033,0.0029,0.0246,0.0041,0.9839,0.9828,0.8465,0.9828
0,0.8,0.0465,0.0425,0.1396,0.0574,0.0036,0.0029,0.0317,0.005,0.981,0.9824,0.807,0.9782
0,0.9,0.0557,0.0492,0.1368,0.0673,0.0046,0.0041,0.0313,0.0077,0.9756,0.9761,0.8177,0.9699
0,1.0,0.0629,0.0577,0.1516,0.0786,0.006,0.0057,0.0396,0.0096,0.9672,0.9676,0.7519,0.9592
0,1.1,0.0706,0.0658,0.1445,0.0939,0.008,0.0072,0.0347,0.0129,0.9587,0.958,0.7885,0.9475
0,1.2000000000000002,0.0758,0.072,0.1837,0.1009,0.01,0.0084,0.0575,0.0146,0.9435,0.9506,0.6264,0.9497
0,1.3,0.0832,0.0759,0.1941,0.1167,0.0109,0.009,0.056,0.0206,0.9415,0.9548,0.6647,0.9164
0,1.4000000000000001,0.0915,0.0866,0.1736,0.1165,0.0124,0.0118,0.0523,0.0201,0.9307,0.9366,0.6768,0.9269
